method,estimate,flow,cq,runid
truth,82.26540026561372,storm,enrich,3
pw,3.7666493963982437,unaltered,enrich,3
beale,NA,unaltered,enrich,3
rating,13.366700201584024,unaltered,enrich,3
composite,13.458137748632097,unaltered,enrich,3
truth,14.608089425773793,unaltered,enrich,3
pw,14.038084443235654,base,none,3
beale,NA,base,none,3
rating,15.764140222221043,base,none,3
composite,15.622761948420928,base,none,3
truth,16.413921013716735,base,none,3
pw,6.11776019958273,storm,none,3
beale,NA,storm,none,3
rating,13.77837931128294,storm,none,3
composite,13.420800625292994,storm,none,3
truth,13.915983640434298,storm,none,3
pw,10.875589787410503,unaltered,none,3
beale,NA,unaltered,none,3
rating,13.13155174385474,unaltered,none,3
composite,12.955812377365591,unaltered,none,3
truth,13.610911117224786,unaltered,none,3
pw,14.457976933119046,base,chemostatic,3
beale,NA,base,chemostatic,3
rating,16.741760484387743,base,chemostatic,3
composite,16.662555626170565,base,chemostatic,3
truth,16.393630293214695,base,chemostatic,3
pw,6.300748239945323,storm,chemostatic,3
beale,NA,storm,chemostatic,3
rating,14.38940576234596,storm,chemostatic,3
composite,14.308181174976697,storm,chemostatic,3
truth,13.89105092055286,storm,chemostatic,3
pw,11.200889046953467,unaltered,chemostatic,3
beale,NA,unaltered,chemostatic,3
rating,13.913740963077926,unaltered,chemostatic,3
composite,13.840876128919493,unaltered,chemostatic,3
truth,13.595427843148148,unaltered,chemostatic,3
pw,14.16942181565949,base,dilution,4
beale,NA,base,dilution,4
rating,11.880967741845692,base,dilution,4
composite,12.078470604363813,base,dilution,4
truth,12.590840338803341,base,dilution,4
pw,28.014203150798874,storm,dilution,4
beale,NA,storm,dilution,4
rating,12.91286688004545,storm,dilution,4
composite,11.288376084459582,storm,dilution,4
truth,18.17215889753941,storm,dilution,4
pw,15.315634672914586,unaltered,dilution,4
beale,NA,unaltered,dilution,4
rating,12.042133221440821,unaltered,dilution,4
composite,12.122198800298456,unaltered,dilution,4
truth,14.053115939547908,unaltered,dilution,4
pw,6.096221874660348,base,enrich,4
beale,NA,base,enrich,4
rating,13.018944644739168,base,enrich,4
composite,13.372250196221197,base,enrich,4
truth,14.152566916949297,base,enrich,4
pw,1.2729105530138844,storm,enrich,4
beale,NA,storm,enrich,4
rating,54.149662862083865,storm,enrich,4
composite,54.89026895320522,storm,enrich,4
truth,76.55171778716237,storm,enrich,4
pw,4.0451136106830115,unaltered,enrich,4
beale,NA,unaltered,enrich,4
rating,13.116807572299212,unaltered,enrich,4
composite,13.446461125936347,unaltered,enrich,4
truth,14.047889635954615,unaltered,enrich,4
pw,13.948127204342287,base,none,4
beale,NA,base,none,4
rating,15.281622289860222,base,none,4
composite,15.717876618178975,base,none,4
truth,15.892821981074274,base,none,4
pw,6.191388670556163,storm,none,4
beale,NA,storm,none,4
rating,12.932600344984555,storm,none,4
composite,12.80137212254052,storm,none,4
truth,13.727915138788207,storm,none,4
pw,11.050081928984634,unaltered,none,4
beale,NA,unaltered,none,4
rating,12.98130161311445,unaltered,none,4
composite,13.29469560492349,unaltered,none,4
truth,13.53197580290845,unaltered,none,4
pw,13.947543930690543,base,chemostatic,4
beale,NA,base,chemostatic,4
rating,16.237620831781243,base,chemostatic,4
composite,16.254042742890615,base,chemostatic,4
truth,15.90312278432179,base,chemostatic,4
pw,6.191129763118172,storm,chemostatic,4
beale,NA,storm,chemostatic,4
rating,14.377489632731702,storm,chemostatic,4
composite,14.429499670784665,storm,chemostatic,4
truth,13.714948689358318,storm,chemostatic,4
pw,11.049619843892895,unaltered,chemostatic,4
beale,NA,unaltered,chemostatic,4
rating,13.898515452547013,unaltered,chemostatic,4
composite,13.918448630567799,unaltered,chemostatic,4
truth,13.539328607747036,unaltered,chemostatic,4
pw,14.13341750817874,base,dilution,5
beale,NA,base,dilution,5
rating,11.854352073694708,base,dilution,5
composite,11.720057422800235,base,dilution,5
truth,12.384297602191392,base,dilution,5
pw,27.965613567375986,storm,dilution,5
beale,NA,storm,dilution,5
rating,13.077886636978933,storm,dilution,5
composite,13.526278265806626,storm,dilution,5
truth,17.291801333861695,storm,dilution,5
pw,15.454402732982667,unaltered,dilution,5
beale,NA,unaltered,dilution,5
rating,12.21124855341298,unaltered,dilution,5
composite,12.540036707989099,unaltered,dilution,5
truth,13.784225362313721,unaltered,dilution,5
pw,5.845565533121872,base,enrich,5
beale,NA,base,enrich,5
rating,14.750667528003369,base,enrich,5
composite,15.105245934258344,base,enrich,5
truth,14.267234259569037,base,enrich,5
pw,1.095351176177081,storm,enrich,5
beale,NA,storm,enrich,5
rating,59.57567359136896,storm,enrich,5
composite,60.15938106751223,storm,enrich,5
truth,75.1257780725105,storm,enrich,5
pw,3.573199753084656,unaltered,enrich,5
beale,NA,unaltered,enrich,5
rating,13.86475610279747,unaltered,enrich,5
composite,14.088088660319546,unaltered,enrich,5
truth,13.784614590362565,unaltered,enrich,5
pw,11.738701616012865,base,none,5
beale,NA,base,none,5
rating,13.535962863252468,base,none,5
composite,14.033067511080798,base,none,5
truth,15.776442453036886,base,none,5
pw,5.299931149816249,storm,none,5
beale,NA,storm,none,5
rating,11.455388982123802,storm,none,5
composite,12.342483290755236,storm,none,5
truth,13.72846312736494,storm,none,5
pw,9.518223550709193,unaltered,none,5
beale,NA,unaltered,none,5
rating,11.528940428942281,unaltered,none,5
composite,12.02918298512138,unaltered,none,5
