method,estimate,flow,cq,runid
truth,76.2991747791952,storm,enrich,3
pw,3.364635206662035,unaltered,enrich,3
beale,NA,unaltered,enrich,3
rating,13.907291999046016,unaltered,enrich,3
composite,14.04307730675164,unaltered,enrich,3
truth,13.914954537489525,unaltered,enrich,3
pw,13.101100721731195,base,none,3
beale,NA,base,none,3
rating,17.583992922112273,base,none,3
composite,17.13438015047015,base,none,3
truth,15.814287784523572,base,none,3
pw,5.508039851923465,storm,none,3
beale,NA,storm,none,3
rating,20.698508807258555,storm,none,3
composite,19.507200529715668,storm,none,3
truth,13.658058460343275,storm,none,3
pw,10.478884177211162,unaltered,none,3
beale,NA,unaltered,none,3
rating,16.114291893976976,unaltered,none,3
composite,15.560372939343262,unaltered,none,3
truth,13.507131852302832,unaltered,none,3
pw,12.927466756956386,base,chemostatic,3
beale,NA,base,chemostatic,3
rating,15.487767266179574,base,chemostatic,3
composite,15.489416012711846,base,chemostatic,3
truth,15.848467350354252,base,chemostatic,3
pw,5.4350396653024475,storm,chemostatic,3
beale,NA,storm,chemostatic,3
rating,12.995521972933917,storm,chemostatic,3
composite,12.880936941394657,storm,chemostatic,3
truth,13.743748649630732,storm,chemostatic,3
pw,10.340003464456462,unaltered,chemostatic,3
beale,NA,unaltered,chemostatic,3
rating,13.165199890027738,unaltered,chemostatic,3
composite,13.153803798307196,unaltered,chemostatic,3
truth,13.544475883828188,unaltered,chemostatic,3
pw,14.09975003322639,base,dilution,4
beale,NA,base,dilution,4
rating,12.196945400702038,base,dilution,4
composite,12.571945773849114,base,dilution,4
truth,12.420724320962236,base,dilution,4
pw,25.063830210371922,storm,dilution,4
beale,NA,storm,dilution,4
rating,13.632414180705679,storm,dilution,4
composite,13.85316866684971,storm,dilution,4
truth,18.070806588363975,storm,dilution,4
pw,14.591513837676134,unaltered,dilution,4
beale,NA,unaltered,dilution,4
rating,11.952794753128336,unaltered,dilution,4
composite,12.616881251689074,unaltered,dilution,4
truth,13.70652291506469,unaltered,dilution,4
pw,4.722424968667101,base,enrich,4
beale,NA,base,enrich,4
rating,12.03385952521685,base,enrich,4
composite,12.078613484607729,base,enrich,4
truth,13.570024813476884,base,enrich,4
pw,0.8574445126216489,storm,enrich,4
beale,NA,storm,enrich,4
rating,31.941986397376112,storm,enrich,4
composite,32.327189853660585,storm,enrich,4
truth,74.85450423729745,storm,enrich,4
pw,3.283275562571376,unaltered,enrich,4
beale,NA,unaltered,enrich,4
rating,12.341794315187153,unaltered,enrich,4
composite,12.39718169496395,unaltered,enrich,4
truth,13.796767290854405,unaltered,enrich,4
