method,estimate,flow,cq,runid
truth,73.40741356702627,storm,enrich,3
pw,3.934178618434348,unaltered,enrich,3
beale,NA,unaltered,enrich,3
rating,13.803663365334335,unaltered,enrich,3
composite,13.739811700817354,unaltered,enrich,3
truth,13.67193402031976,unaltered,enrich,3
pw,13.90229038370848,base,none,3
beale,NA,base,none,3
rating,14.404493712173336,base,none,3
composite,14.790348651580333,base,none,3
truth,15.655417365134928,base,none,3
pw,7.21412945346879,storm,none,3
beale,NA,storm,none,3
rating,11.61219341043756,storm,none,3
composite,11.95045925989154,storm,none,3
truth,13.72376616473494,storm,none,3
pw,11.300024936429587,unaltered,none,3
beale,NA,unaltered,none,3
rating,12.268662161260458,unaltered,none,3
composite,12.589868885413422,unaltered,none,3
truth,13.520528365690502,unaltered,none,3
pw,13.892059883307583,base,chemostatic,3
beale,NA,base,chemostatic,3
rating,15.537256526338806,base,chemostatic,3
composite,15.579018108498417,base,chemostatic,3
truth,15.661561312082906,base,chemostatic,3
pw,7.208820676840707,storm,chemostatic,3
beale,NA,storm,chemostatic,3
rating,13.46720784226683,storm,chemostatic,3
composite,13.649538485491883,storm,chemostatic,3
truth,13.71822842372449,storm,chemostatic,3
pw,11.291709406653444,unaltered,chemostatic,3
beale,NA,unaltered,chemostatic,3
rating,13.38696873141804,unaltered,chemostatic,3
composite,13.439174335790016,unaltered,chemostatic,3
truth,13.524686876076093,unaltered,chemostatic,3
pw,15.068540303911266,base,dilution,4
beale,NA,base,dilution,4
rating,11.906527922942512,base,dilution,4
composite,11.989532932289505,base,dilution,4
truth,12.218721853480913,base,dilution,4
pw,33.565714691642434,storm,dilution,4
beale,NA,storm,dilution,4
rating,12.380658825388009,storm,dilution,4
composite,12.21374500423734,storm,dilution,4
truth,16.680653190176347,storm,dilution,4
pw,15.903709462023555,unaltered,dilution,4
beale,NA,unaltered,dilution,4
rating,11.831835194770438,unaltered,dilution,4
composite,11.977659441282354,unaltered,dilution,4
truth,13.264931145316439,unaltered,dilution,4
pw,5.586262576676853,base,enrich,4
beale,NA,base,enrich,4
rating,12.82881935854899,base,enrich,4
composite,12.905168324283487,base,enrich,4
truth,13.718129158281569,base,enrich,4
pw,1.4546600949868431,storm,enrich,4
beale,NA,storm,enrich,4
rating,59.660166675212906,storm,enrich,4
composite,59.77073763393859,storm,enrich,4
truth,74.80203178751673,storm,enrich,4
pw,3.795604764890383,unaltered,enrich,4
beale,NA,unaltered,enrich,4
rating,12.910579336039593,unaltered,enrich,4
composite,12.896598223115829,unaltered,enrich,4
truth,13.61511963459416,unaltered,enrich,4
