datetime,IS_spCond,IS_NO3,IS_discharge
2015-10-01T17:03:00Z,0.5913392677999999,0.023,8.3053
2015-10-01T17:18:00Z,0.5913392677999999,0.024,8.3053
2015-10-01T17:33:00Z,0.5932245151999999,0.025,8.3053
2015-10-01T17:47:00Z,0.5932245151999999,0.023,8.3053
2015-10-01T18:03:00Z,0.5951097626,0.025,8.3053
2015-10-01T18:18:00Z,0.5957381784,0.024,8.3053
2015-10-01T18:33:00Z,0.5957381784,0.024,8.3053
2015-10-01T18:47:00Z,0.5963665941999999,0.025,8.3053
2015-10-01T19:03:00Z,0.5976234257999999,0.023,8.3053
2015-10-01T19:18:00Z,0.5976234257999999,0.024,8.3053
2015-10-01T19:33:00Z,0.5988802574,0.023,8.3053
2015-10-01T19:47:00Z,0.600137089,0.024,8.3053
2015-10-01T20:03:00Z,0.600137089,0.024,8.3053
2015-10-01T20:18:00Z,0.6026507522,0.024,8.3053
2015-10-01T20:33:00Z,0.6026507522,0.023,8.3053
2015-10-01T20:47:00Z,0.6026507522,0.023,8.3053
2015-10-01T21:03:00Z,0.6032791679999999,0.024,8.3053
2015-10-01T21:18:00Z,0.6045359995999999,0.024,8.3053
2015-10-01T21:33:00Z,0.6057928311999999,0.023,8.3053
2015-10-01T21:47:00Z,0.6057928311999999,0.023,8.3053
2015-10-01T22:03:00Z,0.6070496628,0.023,7.7022
2015-10-01T22:18:00Z,0.6070496628,0.023,7.7022
2015-10-01T22:33:00Z,0.6083064944,0.023,7.7022
2015-10-01T22:47:00Z,0.6083064944,0.024,7.7022
2015-10-01T23:03:00Z,0.6083064944,0.022,7.7022
2015-10-01T23:18:00Z,0.6095633259999998,0.023,7.7022
2015-10-01T23:33:00Z,0.6095633259999998,0.025,7.7022
2015-10-01T23:47:00Z,0.6101917418,0.024,7.7022
2015-10-02T00:03:00Z,0.6114485733999999,0.024,7.7022
2015-10-02T00:18:00Z,0.6127054049999999,0.024,7.7022
2015-10-02T00:33:00Z,0.6133338207999999,0.024,7.7022
2015-10-02T00:47:00Z,0.6127054049999999,0.023,6.5752
2015-10-02T01:03:00Z,0.6139622365999999,0.023,6.5752
2015-10-02T01:18:00Z,0.6139622365999999,0.023,6.5752
2015-10-02T01:33:00Z,0.6164758998,0.025,6.5752
2015-10-02T01:47:00Z,0.615847484,0.022,6.5752
2015-10-02T02:03:00Z,0.6171043156,0.023,6.5752
2015-10-02T02:18:00Z,0.6164758998,0.023,6.5752
2015-10-02T02:33:00Z,0.615847484,0.023,6.5752
2015-10-02T02:47:00Z,0.6171043156,0.024,6.5752
2015-10-02T03:03:00Z,0.6171043156,0.022,6.5752
2015-10-02T03:18:00Z,0.6183611471999999,0.023,6.5752
2015-10-02T03:33:00Z,0.618989563,0.023,6.5752
2015-10-02T03:47:00Z,0.618989563,0.023,6.5752
2015-10-02T04:03:00Z,0.6202463945999999,0.022,6.5752
2015-10-02T04:18:00Z,0.6202463945999999,0.022,6.5752
2015-10-02T04:33:00Z,0.6208748104,0.024,6.5752
2015-10-02T04:47:00Z,0.6215032262,0.023,6.5752
2015-10-02T05:03:00Z,0.6215032262,0.023,6.5752
2015-10-02T05:18:00Z,0.6227600578,0.023,6.5752
2015-10-02T05:33:00Z,0.6233884735999999,0.022,6.5752
2015-10-02T05:47:00Z,0.6246453052,0.023,6.5752
2015-10-02T06:03:00Z,0.6246453052,0.022,6.5752
2015-10-02T06:18:00Z,0.6246453052,0.022,5.5529
2015-10-02T06:33:00Z,0.6252737209999999,0.021,5.5529
2015-10-02T06:47:00Z,0.6252737209999999,0.023,5.5529
2015-10-02T07:03:00Z,0.6265305526,0.021,5.5529
2015-10-02T07:18:00Z,0.6259021368,0.022,5.5529
2015-10-02T07:33:00Z,0.6277873841999999,0.021,5.5529
2015-10-02T07:47:00Z,0.6284158,0.022,5.08
2015-10-02T08:03:00Z,0.6290442157999999,0.021,5.08
2015-10-02T08:18:00Z,0.6296726315999999,0.022,5.08
2015-10-02T08:33:00Z,0.6303010473999999,0.022,5.08
2015-10-02T08:47:00Z,0.6321862948,0.021,5.08
2015-10-02T09:03:00Z,0.6321862948,0.021,5.08
2015-10-02T09:18:00Z,0.6321862948,0.02,5.08
2015-10-02T09:33:00Z,0.6328147105999999,0.021,5.08
2015-10-02T09:47:00Z,0.6359567895999999,0.022,5.08
2015-10-02T10:03:00Z,0.6359567895999999,0.022,5.08
2015-10-02T10:18:00Z,0.6359567895999999,0.023,5.08
2015-10-02T10:33:00Z,0.6372136212,0.022,5.08
2015-10-02T10:47:00Z,0.6365852054,0.022,5.08
2015-10-02T11:03:00Z,0.6384704527999999,0.022,5.08
2015-10-02T11:18:00Z,0.6390988686,0.022,5.08
2015-10-02T11:33:00Z,0.6397272843999999,0.023,5.08
2015-10-02T11:47:00Z,0.6416125318,0.022,5.08
2015-10-02T12:03:00Z,0.6422409476,0.023,5.08
2015-10-02T12:18:00Z,0.6428693634,0.023,5.08
2015-10-02T12:33:00Z,0.6447546108,0.023,5.08
2015-10-02T12:47:00Z,0.6460114423999999,0.022,5.08
2015-10-02T13:03:00Z,0.6466398581999999,0.023,4.6326
2015-10-02T13:18:00Z,0.6460114423999999,0.022,4.6326
2015-10-02T13:33:00Z,0.6466398581999999,0.024,4.6326
2015-10-02T13:47:00Z,0.6478966897999999,0.024,4.6326
2015-10-02T14:03:00Z,0.6497819371999999,0.023,4.6326
2015-10-02T14:18:00Z,0.6504103529999999,0.025,4.6326
2015-10-02T14:33:00Z,0.6510387687999999,0.022,4.6326
2015-10-02T14:47:00Z,0.6504103529999999,0.024,4.6326
2015-10-02T15:03:00Z,0.6516671845999998,0.024,4.6326
2015-10-02T15:18:00Z,0.6522956004,0.024,4.6326
2015-10-02T15:33:00Z,0.6529240162,0.024,4.6326
2015-10-02T15:47:00Z,0.6529240162,0.025,4.6326
2015-10-02T16:03:00Z,0.6541808478,0.025,4.6326
2015-10-02T16:18:00Z,0.6548092635999999,0.024,4.6326
